"Geregistreerde criminaliteit; soort misdrijf, 1999-2007"
"";"Onderwerpen";"Misdrijven";"Per 100 000 inw. 12-79 jaar"
"";"Onderwerpen";"Totaal geregistreerd";"Misdrijven"
"";"Onderwerpen";"Totaal geregistreerd";"Totaal geregistreerd"
"Soort misdrijf";"Perioden";"aantal";"per 100 000 inwoners van 12-79 jaar"
"Gekwalificeerde diefstal";"2000";"500944";"3856"
"Gekwalificeerde diefstal";"2001";"519146";"3971"
"Gekwalificeerde diefstal";"2002";"522988";"3974"
"Gekwalificeerde diefstal";"2003";"475221";"3591"
"Gekwalificeerde diefstal";"2004";"443599";"3338"
"Gekwalificeerde diefstal";"2005";"393164";"2949"
"Gekwalificeerde diefstal";"2006";"372143";"2784"
"Gekwalificeerde diefstal";"2007";"340020";"2538"
"Verduistering";"1999";"7802";"60"
"Verduistering";"2000";"7850";"60"
"Verduistering";"2001";"8564";"66"
"Verduistering";"2002";"8607";"65"
"Verduistering";"2003";"9143";"69"
"Verduistering";"2004";"8714";"66"
"Verduistering";"2005";"7953";"60"
"Verduistering";"2006";"7750";"58"
"Verduistering";"2007";"8101";"60"
"Bedrog";"1999";"11641";"90"
"Bedrog";"2000";"12742";"98"
"Bedrog";"2001";"13808";"106"
"Bedrog";"2002";"14597";"111"
"Bedrog";"2003";"15870";"120"
"Bedrog";"2004";"16883";"127"
"Bedrog";"2005";"17846";"134"
"Bedrog";"2006";"20296";"152"
"Bedrog";"2007";"23779";"177"
"Heling en schuldheling";"1999";"1917";"15"
"Heling en schuldheling";"2000";"2081";"16"
"Heling en schuldheling";"2001";"2723";"21"
"Heling en schuldheling";"2002";"2733";"21"
"Heling en schuldheling";"2003";"3048";"23"
"Heling en schuldheling";"2004";"3568";"27"
"Heling en schuldheling";"2005";"3937";"30"
"Heling en schuldheling";"2006";"4331";"32"
"Heling en schuldheling";"2007";"4061";"30"
"Vernieling en openbare orde totaal";"1999";"189010";"1464"
"Vernieling en openbare orde totaal";"2000";"190024";"1463"
"Vernieling en openbare orde totaal";"2001";"193129";"1477"
"Vernieling en openbare orde totaal";"2002";"197513";"1501"
"Vernieling en openbare orde totaal";"2003";"192514";"1455"
"Vernieling en openbare orde totaal";"2004";"202999";"1527"
"Vernieling en openbare orde totaal";"2005";"211414";"1585"
"Vernieling en openbare orde totaal";"2006";"215225";"1610"
"Vernieling en openbare orde totaal";"2007";"223430";"1668"
"Tegen de openbare orde";"1999";"4525";"35"
"Tegen de openbare orde";"2000";"4813";"37"
"Tegen de openbare orde";"2001";"5907";"45"
"Tegen de openbare orde";"2002";"10462";"80"
"Tegen de openbare orde";"2003";"12539";"95"
"Tegen de openbare orde";"2004";"13451";"101"
"Tegen de openbare orde";"2005";"12256";"92"
"Tegen de openbare orde";"2006";"12494";"93"
"Tegen de openbare orde";"2007";"12986";"97"
"Discriminatie";"1999";"429";"3"
"Discriminatie";"2000";"386";"3"
"Discriminatie";"2001";"575";"4"
"Discriminatie";"2002";"473";"4"
"Discriminatie";"2003";"396";"3"
"Discriminatie";"2004";"507";"4"
"Discriminatie";"2005";"535";"4"
"Discriminatie";"2006";"525";"4"
"Discriminatie";"2007";"520";"4"
"Gemeengevaarlijke misdrijven";"1999";"8424";"65"
"Gemeengevaarlijke misdrijven";"2000";"8679";"67"
"Gemeengevaarlijke misdrijven";"2001";"8739";"67"
"Gemeengevaarlijke misdrijven";"2002";"8269";"63"
"Gemeengevaarlijke misdrijven";"2003";"9326";"70"
"Gemeengevaarlijke misdrijven";"2004";"9021";"68"
"Gemeengevaarlijke misdrijven";"2005";"8889";"67"
"Gemeengevaarlijke misdrijven";"2006";"8878";"66"
"Gemeengevaarlijke misdrijven";"2007";"8849";"66"
"Tegen het openbaar gezag";"1999";"2757";"21"
"Tegen het openbaar gezag";"2000";"3401";"26"
"Tegen het openbaar gezag";"2001";"3509";"27"
"Tegen het openbaar gezag";"2002";"3756";"29"
"Tegen het openbaar gezag";"2003";"4592";"35"
"Tegen het openbaar gezag";"2004";"5528";"42"
"Tegen het openbaar gezag";"2005";"4920";"37"
"Tegen het openbaar gezag";"2006";"4893";"37"
"Tegen het openbaar gezag";"2007";"4733";"35"
"Schennis der eerbaarheid";"1999";"2340";"18"
"Schennis der eerbaarheid";"2000";"2442";"19"
"Schennis der eerbaarheid";"2001";"2202";"17"
"Schennis der eerbaarheid";"2002";"2191";"17"
"Schennis der eerbaarheid";"2003";"2435";"18"
"Schennis der eerbaarheid";"2004";"2323";"17"
"Schennis der eerbaarheid";"2005";"2129";"16"
"Schennis der eerbaarheid";"2006";"2081";"16"
"Schennis der eerbaarheid";"2007";"1854";"14"
"Vernieling";"1999";"170535";"1321"
"Vernieling";"2000";"170303";"1311"
"Vernieling";"2001";"172197";"1317"
"Vernieling";"2002";"172362";"1310"
"Vernieling";"2003";"163226";"1233"
"Vernieling";"2004";"172169";"1295"
"Vernieling";"2005";"182685";"1370"
"Vernieling";"2006";"186354";"1394"
"Vernieling";"2007";"194488";"1452"
"Overige misdrijven Wetboek v. Strafrecht";"1999";"5917";"46"
"Overige misdrijven Wetboek v. Strafrecht";"2000";"6351";"49"
"Overige misdrijven Wetboek v. Strafrecht";"2001";"7230";"55"
"Overige misdrijven Wetboek v. Strafrecht";"2002";"9109";"69"
"Overige misdrijven Wetboek v. Strafrecht";"2003";"10571";"80"
"Overige misdrijven Wetboek v. Strafrecht";"2004";"11127";"84"
"Overige misdrijven Wetboek v. Strafrecht";"2005";"10954";"82"
"Overige misdrijven Wetboek v. Strafrecht";"2006";"11533";"86"
"Overige misdrijven Wetboek v. Strafrecht";"2007";"12408";"93"
"Wegenverkeerswet totaal";"1999";"128734";"997"
"Wegenverkeerswet totaal";"2000";"131139";"1009"
"Wegenverkeerswet totaal";"2001";"138254";"1057"
"Wegenverkeerswet totaal";"2002";"142483";"1083"
"Wegenverkeerswet totaal";"2003";"153614";"1161"
"Wegenverkeerswet totaal";"2004";"153794";"1157"
"Wegenverkeerswet totaal";"2005";"153230";"1149"
"Wegenverkeerswet totaal";"2006";"153873";"1151"
"Wegenverkeerswet totaal";"2007";"157791";"1178"
"Rijden onder invloed";"1999";"41151";"319"
"Rijden onder invloed";"2000";"43370";"334"
"Rijden onder invloed";"2001";"47665";"365"
"Rijden onder invloed";"2002";"52445";"399"
"Rijden onder invloed";"2003";"57863";"437"
"Rijden onder invloed";"2004";"58732";"442"
"Rijden onder invloed";"2005";"59067";"443"
"Rijden onder invloed";"2006";"61355";"459"
"Rijden onder invloed";"2007";"61622";"460"
"Doorrijden na ongeval";"1999";"83789";"649"
"Doorrijden na ongeval";"2000";"84267";"649"
"Doorrijden na ongeval";"2001";"86824";"664"
"Doorrijden na ongeval";"2002";"87241";"663"
"Doorrijden na ongeval";"2003";"91170";"689"
"Doorrijden na ongeval";"2004";"90500";"681"
"Doorrijden na ongeval";"2005";"89522";"671"
"Doorrijden na ongeval";"2006";"87863";"657"
"Doorrijden na ongeval";"2007";"90325";"674"
"Overige misdrijven Wegenverkeerswet";"1999";"3794";"29"
"Overige misdrijven Wegenverkeerswet";"2000";"3502";"27"
"Overige misdrijven Wegenverkeerswet";"2001";"3765";"29"
"Overige misdrijven Wegenverkeerswet";"2002";"2797";"21"
"Overige misdrijven Wegenverkeerswet";"2003";"4581";"35"
"Overige misdrijven Wegenverkeerswet";"2004";"4562";"34"
"Overige misdrijven Wegenverkeerswet";"2005";"4641";"35"
"Overige misdrijven Wegenverkeerswet";"2006";"4655";"35"
"Overige misdrijven Wegenverkeerswet";"2007";"5844";"44"
"Wet op de economische delicten";"1999";"3709";"29"
"Wet op de economische delicten";"2000";"3528";"27"
