"Geregistreerde criminaliteit; soort misdrijf, regio"
"";"Onderwerpen";"Geregistreerde misdrijven";"Geregistreerde misdrijven";"Geregistreerde misdrijven";"Geregistreerde misdrijven";"Geregistreerde misdrijven";"Geregistreerde misdrijven";"Geregistreerde misdrijven";"Opgehelderde misdrijven";"Opgehelderde misdrijven";"Opgehelderde misdrijven";"Opgehelderde misdrijven";"Opgehelderde misdrijven";"Opgehelderde misdrijven";"Opgehelderde misdrijven"
"";"Onderwerpen";"Totaal geregistreerde misdrijven";"Totaal geregistreerde misdrijven";"Totaal geregistreerde misdrijven";"Totaal geregistreerde misdrijven";"Totaal geregistreerde misdrijven";"Totaal geregistreerde misdrijven";"Totaal geregistreerde misdrijven";"Totaal opgehelderde misdrijven";"Totaal opgehelderde misdrijven";"Totaal opgehelderde misdrijven";"Totaal opgehelderde misdrijven";"Totaal opgehelderde misdrijven";"Totaal opgehelderde misdrijven";"Totaal opgehelderde misdrijven"
"";"Perioden";"2010";"2011";"2012";"2013";"2014";"2015*";"2016*";"2010";"2011";"2012";"2013";"2014";"2015*";"2016*"
"Regio's";"Soort misdrijf";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"Nederland";"3.3.4 Ontucht met minderjarige";"1055";"850";"1085";"1025";"1045";"875";"815";"680";"585";"650";"620";"585";"480";"255"
"Nederland";"3.3.5 Pornografie";"575";"570";"635";"785";"690";"650";"395";"460";"460";"525";"560";"445";"490";"185"
"Nederland";"3.3.6 Ontucht met misbruik van gezag";"575";"560";"580";"615";"565";"565";"505";"355";"360";"365";"360";"330";"315";"130"
"Nederland";"3.3.7 Seksueel misdrijf (overig)";"1360";"1450";"1360";"1230";"1255";"1190";"1295";"430";"470";"325";"300";"270";"275";"160"
"Nederland";"3.4 Levensmisdrijf";"4105";"4230";"3890";"3525";"3370";"3250";"3100";"3085";"3190";"3025";"2690";"2535";"2395";"2020"
"Nederland";"3.5 Vrijheidsbeneming/gijzeling";"655";"580";"605";"525";"415";"435";"390";"405";"355";"380";"325";"220";"255";"190"
"Nederland";"3.6 Mensenhandel, mensensmokkel";"705";"720";"785";"590";"625";"615";"695";"325";"295";"355";"255";"345";"275";"225"
"Nederland";"3.7 Geweldsmisdrijf (overig)";"1115";"1215";"1215";"1100";"1115";"1035";"1025";"590";"675";"570";"480";"465";"395";"320"
"Nederland";"4 Misdrijven WvSr (overig)";"10855";"11690";"11785";"11290";"12020";"11005";"11210";"8765";"9275";"9050";"8470";"8750";"7705";"7235"
"Nederland";"7 (Vuur)wapenmisdrijven";"6500";"7405";"7045";"6520";"5875";"5560";"5425";"6295";"7170";"6850";"6330";"5735";"5365";"4890"
"© Centraal Bureau voor de Statistiek, Den Haag/Heerlen 25-9-2017"
